Time [s],satellite_chart_series_1,satellite_chart_series_2,wheel_chart_series_1,u_chart_series_1
8.8740,-7.2722,31.9368,26.3468,14.6664
8.8900,-7.2722,29.4365,25.4749,14.8242
8.9060,-7.2722,27.0222,24.5968,14.9184
8.9220,-7.2722,24.6943,23.7157,14.9630
8.9380,-7.2722,22.4529,22.8342,14.9615
8.9540,-7.2722,20.2977,21.9548,14.9175
8.9700,-7.2722,18.2283,21.0799,14.8344
8.9860,-7.2722,16.2441,20.2117,14.7154
9.0020,-7.2722,14.3441,19.3521,14.5635
9.0180,-7.2722,12.5275,18.5029,14.3817
9.0350,-7.2722,10.6900,17.6134,14.1729
9.0510,-7.2722,9.0414,16.7907,13.9223
9.0670,-7.2722,7.4719,15.9829,13.6659
9.0830,-7.2722,5.9801,15.1912,13.3901
9.0990,-7.2722,4.5644,14.4165,13.0972
9.1160,-7.2722,3.1439,13.6125,12.7893
9.1320,-7.2722,1.8793,12.8759,12.4460
9.1490,-7.2722,0.6150,12.1140,12.1137
9.1650,-7.2722,-0.5066,11.4183,11.7485
9.1810,-7.2722,-1.5619,10.7431,11.3992
9.1980,-7.2722,-2.6108,10.0479,11.0440
9.2150,-7.2722,-3.5896,9.3766,10.6599
9.2320,-7.2722,-4.5010,8.7296,10.2727
9.2490,-7.2722,-5.3475,8.1069,9.8837
9.2660,-7.2722,-6.1316,7.5086,9.4945
9.2830,-7.2722,-6.8558,6.9345,9.1063
9.3000,-7.2722,-7.5227,6.3847,8.7203
9.3160,-7.2722,-8.1018,5.8898,8.3375
9.3320,-7.2722,-8.6343,5.4159,7.9827
9.3480,-7.2722,-9.1224,4.9626,7.6322
9.3640,-7.2722,-9.5680,4.5298,7.2867
9.3800,-7.2722,-9.9731,4.1170,6.9467
9.3970,-7.2722,-10.3599,3.6994,6.6129
9.4130,-7.2722,-10.6874,3.3270,6.2640
9.4290,-7.2722,-10.9803,2.9735,5.9444
9.4450,-7.2722,-11.2402,2.6385,5.6322
9.4620,-7.2722,-11.4813,2.3017,5.3278
9.4790,-7.2722,-11.6892,1.9847,5.0119
9.4950,-7.2722,-11.8575,1.7045,4.7055
9.5120,-7.2722,-12.0070,1.4244,4.4270
9.5290,-7.2722,-12.1292,1.1623,4.1395
9.5450,-7.2722,-12.2216,0.9321,3.8620
9.5620,-7.2722,-12.2959,0.7034,3.6109
9.5790,-7.2722,-12.3480,0.4908,3.3529
9.5960,-7.2722,-12.3796,0.2939,3.1050
9.6120,-7.2722,-12.3925,0.1227,2.8672
9.6280,-7.2722,-12.3898,-0.0358,2.6533
9.6440,-7.2722,-12.3728,-0.1821,2.4482
9.6610,-7.2722,-12.3398,-0.3252,2.2518
9.6780,-7.2722,-12.2931,-0.4557,2.0518
9.6950,-7.2722,-12.2341,-0.5741,1.8613
9.7110,-7.2722,-12.1686,-0.6749,1.6803
9.7270,-7.2722,-12.0942,-0.7660,1.5190
9.7430,-7.2722,-12.0118,-0.8480,1.3657
9.7590,-7.2722,-11.9221,-0.9214,1.2201
9.7750,-7.2722,-11.8260,-0.9866,1.0822
9.7920,-7.2722,-11.7175,-1.0476,0.9517
9.8090,-7.2722,-11.6035,-1.1003,0.8206
9.8250,-7.2722,-11.4921,-1.1425,0.6974
9.8420,-7.2722,-11.3697,-1.1806,0.5889
9.8580,-7.2722,-11.2517,-1.2099,0.4805
9.8750,-7.2722,-11.1236,-1.2351,0.3854
9.8910,-7.2722,-11.0013,-1.2531,0.2908
9.9070,-7.2722,-10.8777,-1.2662,0.2081
9.9230,-7.2722,-10.7532,-1.2748,0.1312
9.9390,-7.2722,-10.6283,-1.2790,0.0598
9.9560,-7.2722,-10.4956,-1.2793,-0.0064
9.9720,-7.2722,-10.3710,-1.2757,-0.0713
9.9880,-7.2722,-10.2471,-1.2688,-0.1273
10.0040,-7.2722,-10.1241,-1.2588,-0.1786
10.0210,-7.2722,-9.9949,-1.2452,-0.2255
10.0370,-7.2722,-9.8748,-1.2297,-0.2708
10.0530,-7.2722,-9.7565,-1.2119,-0.3092
10.0690,-7.2722,-9.6401,-1.1920,-0.3438
10.0860,-7.2722,-9.5188,-1.1688,-0.3748
10.1020,-7.2722,-9.4070,-1.1453,-0.4040
10.1190,-7.2722,-9.2909,-1.1188,-0.4281
10.1350,-7.2722,-9.1843,-1.0925,-0.4504
10.1510,-7.2722,-9.0803,-1.0650,-0.4684
10.1680,-7.2722,-8.9729,-1.0349,-0.4837
10.1840,-7.2722,-8.8748,-1.0058,-0.4972
10.2000,-7.2722,-8.7795,-0.9760,-0.5074
10.2170,-7.2722,-8.6817,-0.9438,-0.5154
10.2330,-7.2722,-8.5926,-0.9131,-0.5216
10.2490,-7.2722,-8.5066,-0.8822,-0.5254
10.2660,-7.2722,-8.4186,-0.8492,-0.5275
10.2830,-7.2722,-8.3340,-0.8162,-0.5279
10.3000,-7.2722,-8.2529,-0.7832,-0.5265
10.3160,-7.2722,-8.1796,-0.7523,-0.5235
10.3320,-7.2722,-8.1093,-0.7217,-0.5195
10.3480,-7.2722,-8.0419,-0.6914,-0.5142
10.3650,-7.2722,-7.9737,-0.6595,-0.5079
10.3810,-7.2722,-7.9124,-0.6300,-0.5001
10.3980,-7.2722,-7.8505,-0.5991,-0.4920
10.4150,-7.2722,-7.7917,-0.5688,-0.4823
