Time [s],pos_chart_series_1,pos_chart_series_2,sway_chart_series_1,u_chart_series_1
0.0000,0.0000,0.0000,0.0000,0.0000
0.0170,0.0000,0.0000,0.0000,0.0000
0.0340,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000
0.0670,0.0000,0.0000,0.0000,0.0000
0.0840,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000,0.0000
0.1170,0.0000,0.0000,0.0000,0.0000
0.1340,0.0000,0.0000,0.0000,0.0000
0.1510,0.0000,0.0000,0.0000,0.0000
0.1670,0.0000,0.0000,0.0000,0.0000
0.1830,0.0000,0.0000,0.0000,0.0000
0.1990,0.0000,0.0000,0.0000,0.0000
0.2150,0.0000,0.0000,0.0000,0.0000
0.2310,0.0000,0.0000,0.0000,0.0000
0.2480,0.0000,0.0000,0.0000,0.0000
0.2640,0.0000,0.0000,0.0000,0.0000
0.2810,0.0000,0.0000,0.0000,0.0000
0.2970,0.0000,0.0000,0.0000,0.0000
0.3130,0.0000,0.0000,0.0000,0.0000
0.3300,0.0000,0.0000,0.0000,0.0000
0.3460,0.0000,0.0000,0.0000,0.0000
0.3630,0.0000,0.0000,0.0000,0.0000
0.3790,0.0000,0.0000,0.0000,0.0000
0.3960,0.0000,0.0000,0.0000,0.0000
0.4130,0.0000,0.0000,0.0000,0.0000
0.4300,0.0000,0.0000,0.0000,0.0000
0.4470,0.0000,0.0000,0.0000,0.0000
0.4630,0.0000,0.0000,0.0000,0.0000
0.4790,0.0000,0.0000,0.0000,0.0000
0.4950,0.0000,0.0000,0.0000,0.0000
0.5120,0.0000,0.0000,0.0000,0.0000
0.5280,0.0000,0.0000,0.0000,0.0000
0.5440,0.0000,0.0000,0.0000,0.0000
0.5610,0.0000,0.0000,0.0000,0.0000
0.5770,0.0000,0.0000,0.0000,0.0000
0.5940,0.0000,0.0000,0.0000,0.0000
0.6110,0.0000,0.0000,0.0000,0.0000
0.6280,0.0000,0.0000,0.0000,0.0000
0.6450,0.0000,0.0000,0.0000,0.0000
0.6610,0.0000,0.0000,0.0000,0.0000
0.6770,0.0000,0.0000,0.0000,0.0000
0.6940,0.0000,0.0000,0.0000,0.0000
0.7110,0.0000,0.0000,0.0000,0.0000
0.7270,0.0000,0.0000,0.0000,0.0000
0.7430,0.0000,0.0000,0.0000,0.0000
0.7590,0.0000,0.0000,0.0000,0.0000
0.7750,0.0000,0.0000,0.0000,0.0000
0.7910,0.0000,0.0000,0.0000,0.0000
0.8070,0.0000,0.0000,0.0000,0.0000
0.8230,0.0000,0.0000,0.0000,0.0000
0.8390,0.0000,0.0000,0.0000,0.0000
0.8550,0.0000,0.0000,0.0000,0.0000
0.8710,0.0000,0.0000,0.0000,0.0000
0.8870,0.0000,0.0000,0.0000,0.0000
0.9030,0.0000,0.0000,0.0000,0.0000
0.9190,0.0000,0.0000,0.0000,0.0000
0.9350,0.0000,0.0000,0.0000,0.0000
0.9510,0.0000,0.0000,0.0000,0.0000
0.9670,0.0000,0.0000,0.0000,0.0000
0.9840,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000
1.0160,0.0000,0.0000,0.0000,0.0000
1.0320,0.0000,0.0000,0.0000,0.0000
1.0480,0.0000,0.0000,0.0000,0.0000
1.0650,0.0000,0.0000,0.0000,0.0000
1.0820,0.0000,0.0000,0.0000,0.0000
1.0990,0.0000,0.0000,0.0000,0.0000
1.1150,0.0000,0.0000,0.0000,0.0000
1.1310,0.0000,0.0000,0.0000,0.0000
1.1470,0.0000,0.0000,0.0000,0.0000
1.1640,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000
1.1960,0.0000,0.0000,0.0000,0.0000
1.2120,0.0000,0.0000,0.0000,0.0000
1.2280,0.0000,0.0000,0.0000,0.0000
1.2450,0.0000,0.0000,0.0000,0.0000
1.2610,0.0000,0.0000,0.0000,0.0000
1.2780,0.0000,0.0000,0.0000,0.0000
1.2940,0.0000,0.0000,0.0000,0.0000
1.3110,0.0000,0.0000,0.0000,0.0000
1.3280,0.0000,0.0000,0.0000,0.0000
1.3440,0.0000,0.0000,0.0000,0.0000
1.3600,0.0000,0.0000,0.0000,0.0000
1.3770,-0.2427,-0.0001,0.0094,-1.9413
1.3940,-0.2329,-0.0004,0.0270,-1.7199
1.4100,-0.2329,-0.0007,0.0501,-1.5903
1.4270,-0.2262,-0.0012,0.0811,-1.4225
1.4440,-0.2156,-0.0017,0.1174,-1.2258
1.4610,-0.2067,-0.0024,0.1580,-1.0564
1.4770,-0.2031,-0.0030,0.1993,-0.9414
1.4930,-0.2000,-0.0036,0.2432,-0.8433
1.5090,-0.2000,-0.0044,0.2894,-0.7767
1.5260,-0.1933,-0.0051,0.3402,-0.6616
1.5420,-0.1796,-0.0059,0.3887,-0.4935
1.5580,-0.1796,-0.0067,0.4376,-0.4521
1.5740,-0.1658,-0.0075,0.4862,-0.3039
1.5900,-0.1587,-0.0083,0.5340,-0.2202
1.6060,-0.1400,-0.0091,0.5802,-0.0509
1.6230,-0.1284,-0.0099,0.6270,0.0487
1.6400,-0.1027,-0.0107,0.6704,0.2545
1.6570,-0.0871,-0.0115,0.7098,0.3617
1.6730,-0.0724,-0.0121,0.7430,0.4519
1.6900,-0.0551,-0.0128,0.7732,0.5565
1.7070,-0.0324,-0.0135,0.7979,0.6925
1.7240,-0.0324,-0.0140,0.8172,0.6351
1.7400,-0.0324,-0.0146,0.8309,0.5797
1.7560,-0.0324,-0.0150,0.8405,0.5294
1.7720,-0.0262,-0.0155,0.8459,0.5308
1.7890,-0.0262,-0.0159,0.8472,0.4810
1.8060,-0.0262,-0.0163,0.8445,0.4305
1.8230,-0.0262,-0.0167,0.8380,0.3824
1.8400,-0.0262,-0.0171,0.8279,0.3367
1.8560,-0.0249,-0.0174,0.8156,0.3041
1.8720,-0.0249,-0.0177,0.8007,0.2650
1.8880,-0.0249,-0.0180,0.7834,0.2280
1.9050,-0.0253,-0.0183,0.7625,0.1896
1.9210,-0.0253,-0.0186,0.7409,0.1550
1.9380,-0.0280,-0.0189,0.7161,0.1033
1.9540,-0.0396,-0.0192,0.6916,-0.0179
1.9700,-0.0569,-0.0195,0.6669,-0.1750
1.9870,-0.0644,-0.0199,0.6407,-0.2428
2.0040,-0.0844,-0.0203,0.6153,-0.4053
2.0200,-0.0844,-0.0206,0.5922,-0.3952
2.0360,-0.1080,-0.0211,0.5707,-0.5741
2.0530,-0.1191,-0.0215,0.5499,-0.6402
2.0700,-0.1191,-0.0221,0.5312,-0.6103
2.0870,-0.1071,-0.0226,0.5139,-0.4854
2.1040,-0.0933,-0.0232,0.4973,-0.3545
2.1200,-0.0773,-0.0238,0.4819,-0.2147
2.1370,-0.0773,-0.0244,0.4656,-0.2128
2.1540,-0.1044,-0.0250,0.4506,-0.4273
2.1700,-0.1071,-0.0256,0.4376,-0.4301
2.1860,-0.1093,-0.0262,0.4258,-0.4296
2.2020,-0.1107,-0.0269,0.4150,-0.4215
2.2190,-0.1160,-0.0276,0.4049,-0.4454
2.2350,-0.1298,-0.0283,0.3971,-0.5332
2.2510,-0.1427,-0.0290,0.3911,-0.6087
2.2670,-0.1444,-0.0298,0.3870,-0.5894
2.2830,-0.1493,-0.0306,0.3847,-0.5957
2.3000,-0.1591,-0.0314,0.3845,-0.6401
2.3170,-0.1724,-0.0324,0.3869,-0.7065
2.3330,-0.1996,-0.0333,0.3920,-0.8776
2.3490,-0.2347,-0.0342,0.4010,-1.1033
2.3660,-0.2573,-0.0353,0.4154,-1.2130
2.3830,-0.2862,-0.0365,0.4352,-1.3583
2.3990,-0.3449,-0.0377,0.4601,-1.7299
2.4150,-0.3742,-0.0390,0.4916,-1.8465
2.4320,-0.4302,-0.0405,0.5339,-2.1669
2.4490,-0.4876,-0.0421,0.5863,-2.4640
2.4650,-0.5147,-0.0439,0.6445,-2.4955
2.4820,-0.5449,-0.0458,0.7162,-2.5601
2.4990,-0.5778,-0.0479,0.7980,-2.6271
2.5160,-0.6160,-0.0502,0.8899,-2.7303
