Time [s],arm_chart_series_1,arm_chart_series_2,pendulum_chart_series_1,u_chart_series_1
0.0000,0.0000,-0.0078,0.0113,0.0000
0.0160,0.0000,-0.0060,0.0111,0.0000
0.0330,0.0000,-0.0042,0.0108,-0.0000
0.0490,0.0000,-0.0027,0.0106,-0.0000
0.0650,0.0000,-0.0014,0.0103,-0.0000
0.0810,0.0000,-0.0002,0.0100,-0.0001
0.0970,0.0000,0.0007,0.0096,-0.0001
0.1140,0.0000,0.0016,0.0091,-0.0001
0.1300,0.0000,0.0022,0.0087,-0.0001
0.1460,0.0000,0.0027,0.0082,-0.0001
0.1620,0.0000,0.0030,0.0076,-0.0001
0.1790,0.0000,0.0033,0.0071,-0.0001
0.1950,0.0000,0.0034,0.0065,-0.0001
0.2120,0.0000,0.0034,0.0059,-0.0001
0.2280,0.0000,0.0034,0.0054,-0.0000
0.2450,0.0000,0.0033,0.0048,-0.0000
0.2620,0.0000,0.0031,0.0043,-0.0000
0.2780,0.0000,0.0030,0.0038,-0.0000
0.2950,0.0000,0.0028,0.0034,-0.0000
0.3120,0.0000,0.0027,0.0030,-0.0000
0.3280,0.0000,0.0026,0.0026,-0.0000
0.3450,0.0000,0.0024,0.0023,-0.0000
0.3620,0.0000,0.0023,0.0021,-0.0000
0.3780,0.0000,0.0023,0.0018,0.0000
0.3940,0.0000,0.0022,0.0016,0.0000
0.4110,0.0000,0.0022,0.0015,0.0000
0.4280,0.0000,0.0022,0.0013,0.0000
0.4440,0.0000,0.0022,0.0012,0.0000
0.4600,0.0000,0.0022,0.0011,0.0000
0.4770,0.0000,0.0022,0.0011,-0.0000
0.4930,0.0000,0.0022,0.0010,-0.0000
0.5100,0.0000,0.0022,0.0009,-0.0000
0.5270,0.0000,0.0022,0.0009,-0.0000
0.5440,0.0000,0.0022,0.0008,-0.0000
0.5600,0.0000,0.0022,0.0008,-0.0000
0.5760,0.0000,0.0022,0.0007,-0.0000
0.5920,0.0000,0.0022,0.0007,-0.0000
0.6080,0.0000,0.0022,0.0006,-0.0000
0.6240,0.0000,0.0021,0.0006,-0.0000
0.6400,0.0000,0.0020,0.0005,-0.0000
0.6560,0.0000,0.0020,0.0005,-0.0000
0.6720,0.0000,0.0019,0.0004,-0.0000
0.6890,0.0000,0.0018,0.0004,-0.0000
0.7050,0.0000,0.0017,0.0003,-0.0000
0.7210,0.0000,0.0016,0.0003,-0.0000
0.7370,0.0000,0.0016,0.0002,-0.0000
0.7540,0.0000,0.0015,0.0002,-0.0000
0.7700,0.0000,0.0014,0.0001,-0.0000
0.7860,0.0000,0.0013,0.0001,-0.0000
0.8020,0.0000,0.0012,0.0000,-0.0000
0.8190,-0.4600,0.0077,0.0047,0.0064
0.8350,-0.4600,0.0233,0.0158,0.0052
0.8520,-0.4600,0.0467,0.0322,0.0039
0.8680,-0.4600,0.0720,0.0498,0.0024
0.8840,-0.4600,0.0978,0.0677,0.0011
0.9000,-0.4600,0.1219,0.0843,-0.0002
0.9160,-0.4600,0.1424,0.0986,-0.0013
0.9330,-0.4600,0.1589,0.1104,-0.0023
0.9490,-0.4600,0.1683,0.1176,-0.0031
0.9650,-0.4600,0.1713,0.1209,-0.0037
0.9810,-0.4600,0.1676,0.1202,-0.0041
0.9970,-0.4600,0.1575,0.1158,-0.0043
1.0140,-0.4600,0.1401,0.1075,-0.0044
1.0300,-0.4500,0.1182,0.0967,-0.0044
1.0460,-0.4500,0.0915,0.0835,-0.0041
1.0630,-0.4400,0.0590,0.0675,-0.0038
1.0790,-0.4300,0.0254,0.0512,-0.0035
1.0960,-0.4300,-0.0125,0.0332,-0.0029
1.1130,-0.4300,-0.0511,0.0154,-0.0023
1.1290,-0.4300,-0.0873,-0.0006,-0.0017
1.1450,-0.4400,-0.1221,-0.0152,-0.0010
1.1610,-0.4400,-0.1548,-0.0281,-0.0005
1.1780,-0.4300,-0.1868,-0.0396,-0.0002
1.1950,-0.4300,-0.2157,-0.0490,0.0001
1.2120,-0.4400,-0.2410,-0.0559,0.0006
1.2290,-0.4400,-0.2626,-0.0605,0.0008
1.2460,-0.4400,-0.2806,-0.0628,0.0009
1.2630,-0.4400,-0.2951,-0.0631,0.0010
1.2790,-0.4400,-0.3060,-0.0619,0.0010
1.2960,-0.4500,-0.3148,-0.0591,0.0010
1.3130,-0.4500,-0.3212,-0.0552,0.0009
1.3300,-0.4500,-0.3256,-0.0504,0.0007
1.3460,-0.4500,-0.3285,-0.0455,0.0005
1.3630,-0.4500,-0.3307,-0.0402,0.0004
1.3800,-0.4500,-0.3324,-0.0349,0.0002
1.3970,-0.4500,-0.3340,-0.0301,0.0000
1.4140,-0.4500,-0.3357,-0.0257,-0.0002
1.4310,-0.4500,-0.3379,-0.0219,-0.0003
1.4470,-0.4500,-0.3405,-0.0190,-0.0004
1.4630,-0.4500,-0.3436,-0.0168,-0.0005
1.4790,-0.4500,-0.3474,-0.0151,-0.0005
1.4950,-0.4500,-0.3518,-0.0141,-0.0005
1.5110,-0.4500,-0.3567,-0.0135,-0.0005
1.5270,-0.4500,-0.3621,-0.0134,-0.0005
1.5440,-0.4500,-0.3682,-0.0137,-0.0005
1.5600,-0.4500,-0.3742,-0.0142,-0.0004
1.5760,-0.4500,-0.3803,-0.0149,-0.0003
1.5930,-0.4500,-0.3868,-0.0158,-0.0003
1.6090,-0.4500,-0.3928,-0.0166,-0.0002
1.6250,-0.4500,-0.3986,-0.0173,-0.0001
1.6420,-0.4500,-0.4045,-0.0180,-0.0001
1.6580,-0.4500,-0.4096,-0.0185,-0.0000
1.6750,-0.4500,-0.4146,-0.0189,0.0000
1.6910,-0.4500,-0.4188,-0.0190,0.0001
1.7080,-0.4500,-0.4228,-0.0189,0.0001
1.7240,-0.4500,-0.4261,-0.0186,0.0001
1.7400,-0.4500,-0.4290,-0.0182,0.0001
1.7560,-0.4500,-0.4314,-0.0176,0.0001
1.7730,-0.4500,-0.4335,-0.0168,0.0001
1.7900,-0.4500,-0.4353,-0.0158,0.0001
1.8070,-0.4500,-0.4367,-0.0148,0.0001
1.8240,-0.4500,-0.4378,-0.0138,0.0001
1.8400,-0.4500,-0.4387,-0.0128,0.0001
1.8570,-0.4500,-0.4394,-0.0117,0.0001
1.8750,65.0204,-1.4763,-0.7518,-0.9141
1.8910,65.0204,-3.7940,-2.3911,-0.7236
1.9080,65.0204,-7.1699,-4.7581,-0.5355
1.9240,65.0204,-10.7758,-7.2734,-0.3251
1.9410,65.0204,-14.6246,-9.9597,-0.1271
1.9570,65.0204,-17.9298,-12.2882,0.0764
1.9740,65.0204,-20.7980,-14.3618,0.2522
1.9910,65.0204,-22.7806,-15.8941,0.4160
2.0080,65.0204,-23.7157,-16.7983,0.5502
2.0250,65.0204,-23.5097,-17.0335,0.6520
2.0410,65.0204,-22.2409,-16.6418,0.7214
2.0570,65.0204,-19.9383,-15.6795,0.7589
2.0730,65.0204,-16.6475,-14.1927,0.7720
2.0900,65.0204,-12.1518,-12.1070,0.7631
2.1070,65.0204,-6.7472,-9.5866,0.7312
2.1230,65.0204,-0.9712,-6.9084,0.6765
2.1400,65.0204,5.7154,-3.8450,0.6041
2.1560,65.0204,12.3340,-0.8624,0.5041
2.1730,65.0204,19.4751,2.2866,0.3902
2.1900,65.0204,26.4809,5.2876,0.2512
2.2070,65.0204,33.0977,8.0088,0.1020
2.2230,65.0204,38.7628,10.2059,-0.0467
2.2400,65.0204,44.0018,12.0572,-0.1748
2.2570,65.0204,48.3141,13.3489,-0.2893
2.2730,65.0204,51.4600,14.0227,-0.3739
2.2900,65.0204,53.8175,14.1638,-0.4224
2.3060,65.0204,55.1479,13.7896,-0.4416
2.3220,65.0204,55.6901,12.9793,-0.4318
2.3380,65.0204,55.5477,11.8072,-0.3996
2.3540,65.0204,54.8459,10.3598,-0.3502
2.3710,65.0204,53.6409,8.6236,-0.2890
2.3870,65.0204,52.2224,6.8992,-0.2161
2.4030,65.0204,50.6725,5.1787,-0.1455
2.4200,65.0204,49.0222,3.4398,-0.0764
2.4360,65.0204,47.5784,1.9521,-0.0077
2.4530,65.0204,46.2640,0.5861,0.0494
2.4690,65.0204,45.2999,-0.4657,0.1007
2.4850,65.0204,44.6462,-1.2721,0.1387
2.5010,65.0204,44.3235,-1.8307,0.1664
2.5170,65.0204,44.3338,-2.1506,0.1841
2.5340,65.0204,44.6940,-2.2497,0.1924
2.5510,65.0204,45.3820,-2.1310,0.1919
2.5670,65.0204,46.2893,-1.8533,0.1833
2.5840,65.0204,47.4789,-1.4203,0.1691
2.6000,65.0204,48.7608,-0.9191,0.1490
2.6170,65.0204,50.2381,-0.3262,0.1269
2.6340,-47.7551,53.3767,1.4361,1.6759
2.6500,-47.7551,58.6898,4.7455,1.3419
2.6670,-47.7551,65.8912,9.3412,0.9880
2.6840,-47.7551,73.7620,14.4372,0.5734
2.7000,-47.7551,80.9653,19.1855,0.1285
2.7160,-47.7551,87.2864,23.4768,-0.2993
2.7320,-47.7551,92.2067,27.0068,-0.7125
2.7490,-47.7551,95.4695,29.6784,-1.0897
2.7660,-47.7551,96.3919,31.0762,-1.4381
2.7820,-47.7551,96.1962,31.9270,0.0000
2.7990,-47.7551,96.0788,33.0993,0.0000
2.8150,-47.7551,96.0423,34.4480,0.0000
2.8310,-47.7551,96.0673,36.0298,0.0000
2.8470,-47.7551,96.1443,37.8416,0.0000
2.8630,-47.7551,96.2637,39.8819,0.0000
2.8790,-47.7551,96.4162,42.1502,0.0000
2.8960,-47.7551,96.6039,44.8110,0.0000
2.9130,-47.7551,96.8066,47.7321,0.0000
2.9290,-47.7551,97.0005,50.7219,0.0000
2.9450,-47.7551,97.1867,53.9479,0.0000
2.9610,-47.7551,97.3544,57.4139,0.0000
2.9780,-47.7551,97.4993,61.3638,0.0000
2.9940,-47.7551,97.5917,65.3373,0.0000
3.0100,-47.7551,97.6284,69.5634,0.0000
3.0270,-47.7551,97.5909,74.3353,0.0000
3.0440,-47.7551,97.4577,79.4022,0.0000
3.0610,-47.7551,97.2104,84.7688,0.0000
3.0780,-47.7551,96.8291,90.4388,0.0000
3.0940,-47.7551,96.3294,96.0553,0.0000
3.1100,-47.7551,95.6746,101.9444,0.0000
3.1260,-47.7551,94.8462,108.1057,0.0000
3.1430,-47.7551,93.7556,114.9470,0.0000
3.1590,-47.7551,92.5144,121.6561,0.0000
3.1760,-47.7551,90.9548,129.0567,0.0000
3.1930,-47.7551,89.1449,136.7111,0.0000
3.2100,-47.7551,87.1019,144.5746,0.0000
3.2270,-47.7551,84.8716,152.5771,0.0000
3.2440,-47.7551,82.5364,160.6177,0.0000
3.2610,-47.7551,80.2126,168.5657,0.0000
3.2770,-47.7551,78.1550,175.8311,0.0000
3.2930,-47.7551,76.3259,-177.2279,0.0000
3.3100,-47.7551,74.7098,-170.3053,0.0000
3.3260,-47.7551,73.5279,-164.2702,0.0000
3.3420,-47.7551,72.6704,-158.7233,0.0000
3.3590,-47.7551,72.0848,-153.3657,0.0000
3.3750,-47.7551,71.8015,-148.8172,0.0000
3.3910,-47.7551,71.7377,-144.7332,0.0000
3.4070,-47.7551,71.8561,-141.0982,0.0000
3.4230,-47.7551,72.1232,-137.8976,0.0000
3.4390,-47.7551,72.5104,-135.1181,0.0000
3.4550,-47.7551,72.9931,-132.7478,0.0000
3.4720,-47.7551,73.5882,-130.6653,0.0000
3.4890,-47.7551,74.2490,-129.0199,0.0000
3.5050,-47.7551,74.9174,-127.8601,0.0000
3.5220,-47.7551,75.6659,-127.0300,0.0000
3.5380,-47.7551,76.3992,-126.6172,0.0000
3.5540,0.0000,-0.0485,0.5403,-0.0550
3.5710,0.0000,-0.1898,0.4469,-0.0490
3.5880,0.0000,-0.4007,0.3102,-0.0410
3.6050,0.0000,-0.6574,0.1472,-0.0319
3.6210,0.0000,-0.9209,-0.0166,-0.0224
3.6370,0.0000,-1.1881,-0.1789,-0.0135
3.6530,0.0000,-1.4443,-0.3304,-0.0051
3.6700,0.0000,-1.6913,-0.4716,0.0025
3.6870,0.0000,-1.9018,-0.5867,0.0095
3.7030,0.0000,-2.0595,-0.6676,0.0153
3.7200,0.0000,-2.1794,-0.7226,0.0194
3.7370,0.0000,-2.2491,-0.7461,0.0224
3.7540,0.0000,-2.2695,-0.7400,0.0241
3.7710,0.0000,-2.2441,-0.7073,0.0245
3.7880,0.0000,-2.1777,-0.6521,0.0239
3.8040,0.0000,-2.0837,-0.5838,0.0223
3.8210,0.0000,-1.9569,-0.4986,0.0202
3.8380,0.0000,-1.8096,-0.4053,0.0175
3.8550,0.0000,-1.6492,-0.3085,0.0144
3.8710,0.0000,-1.4926,-0.2181,0.0112
3.8870,-5.5102,-1.2666,-0.0820,0.0852
3.9030,-5.5102,-0.9324,0.1271,0.0684
3.9190,-5.5102,-0.5306,0.3798,0.0503
3.9350,-5.5102,-0.0987,0.6500,0.0317
3.9510,-5.5102,0.3297,0.9153,0.0137
3.9670,-5.5102,0.7261,1.1575,-0.0031
3.9830,-5.5102,1.0676,1.3625,-0.0180
4.0000,-5.5102,1.3512,1.5286,-0.0307
4.0160,-5.5102,1.5316,1.6305,-0.0415
4.0320,-5.5102,1.6217,1.6769,-0.0490
4.0480,-5.5102,1.6203,1.6690,-0.0538
4.0650,-5.5102,1.5221,1.6051,-0.0562
4.0820,-5.5102,1.3325,1.4908,-0.0562
4.0980,-5.5102,1.0807,1.3449,-0.0541
4.1150,-5.5102,0.7485,1.1585,-0.0504
4.1320,-5.5102,0.3644,0.9498,-0.0452
4.1480,-5.5102,-0.0301,0.7421,-0.0389
4.1640,-5.5102,-0.4433,0.5319,-0.0325
4.1810,-5.5102,-0.8893,0.3138,-0.0259
4.1970,-5.5102,-1.3042,0.1199,-0.0190
4.2130,-5.5102,-1.7044,-0.0576,-0.0129
4.2290,-5.5102,-2.0821,-0.2149,-0.0074
4.2450,-5.5102,-2.4314,-0.3494,-0.0025
4.2610,-5.5102,-2.7481,-0.4595,0.0016
4.2780,-5.5102,-3.0460,-0.5496,0.0049
4.2950,61.3469,-4.2506,-1.2906,-0.9261
4.3120,61.3469,-6.9347,-3.0754,-0.7423
4.3290,61.3469,-10.5609,-5.5102,-0.5366
